ticket_id,created_at,channel,region,text,category,priority,sentiment
TKT-1190,2026-03-06 06:00:00,email,GB,"Hi there, My order has not arrived yet. This happened after the latest update. Can someone look into this?",delivery,high,neutral
TKT-1031,2026-03-05 18:00:00,email,GB,"Hi there, I need a copy of my latest invoice. This is the first time I have seen this issue. Can someone look into this?",billing,medium,negative
TKT-1011,2026-03-26 12:00:00,web_form,CA,"Hey team, I need a copy of my latest invoice. I need this resolved before the end of the day. Can someone look into this?",billing,high,negative
TKT-1171,2026-05-05 13:00:00,web_form,SG,"Hey team, My delivery is delayed again. This is the first time I have seen this issue. What should I do next?",delivery,high,negative
TKT-1272,2026-05-23 10:00:00,mobile_app,US,"Hi, Can I upgrade my plan at any time. This happened after the latest update. Please let me know how to fix this.",product_inquiry,medium,positive
TKT-1242,2026-04-10 11:00:00,email,SG,"Hey team, The refund amount is lower than expected. I have not changed anything on my account.",cancellation_refund,medium,negative
TKT-1234,2026-01-10 10:00:00,mobile_app,SG,"Good day, My refund has not appeared on my card. It has been happening since yesterday. Thanks in advance.",cancellation_refund,high,neutral
TKT-1270,2026-04-14 08:00:00,chat,CA,"Good day, Which plan is best for a small team. What should I do next?",product_inquiry,medium,neutral
TKT-1194,2026-01-22 20:00:00,mobile_app,PH,My delivery is delayed again. I need this resolved before the end of the day. Please let me know how to fix this.,delivery,low,negative
TKT-1183,2026-03-18 02:00:00,mobile_app,SG,"Hey team, Part of my order is missing. This is the first time I have seen this issue. Can someone look into this?",delivery,medium,negative
TKT-1237,2026-06-21 14:00:00,mobile_app,CA,"Hello support, Can I cancel an order that has already shipped. I have not changed anything on my account. Please let me know how to fix this.",cancellation_refund,low,neutral
TKT-1029,2026-02-23 04:00:00,chat,SG,"Good day, My card was declined even though it works elsewhere. I need this resolved before the end of the day. I would appreciate an update.",billing,high,neutral
TKT-1226,2026-04-08 20:00:00,email,PH,"Hi, My refund has not appeared on my card. This started today. I would appreciate an update.",cancellation_refund,medium,neutral
TKT-1147,2026-04-17 23:00:00,web_form,PH,I get an error when trying to save changes. I have not changed anything on my account.,technical_issue,medium,neutral
TKT-1196,2026-04-08 23:00:00,web_form,PH,"Hi there, Can I change the shipping address before dispatch. I need this resolved before the end of the day. I would appreciate an update.",delivery,low,negative
TKT-1116,2026-05-28 08:00:00,chat,US,"Good day, The app crashes whenever I open settings. This started today. I would appreciate an update.",technical_issue,high,neutral
TKT-1162,2026-04-25 00:00:00,chat,PH,"Hey team, The tracking number has not updated. I am using the website on my laptop. Please let me know how to fix this.",delivery,medium,negative
TKT-1118,2026-06-07 17:00:00,web_form,AU,"Hi there, The mobile app freezes on the checkout screen. I am using the mobile app. Thanks in advance.",technical_issue,medium,negative
TKT-1192,2026-01-24 09:00:00,web_form,US,"Good day, Can I change the shipping address before dispatch. I am using the website on my laptop. Please let me know how to fix this.",delivery,low,neutral
TKT-1213,2026-02-14 03:00:00,chat,US,"Hey team, Please refund my latest payment. I need this resolved before the end of the day. Please let me know how to fix this.",cancellation_refund,high,neutral
TKT-1066,2026-06-09 20:00:00,chat,GB,"Hi, I changed my phone number and cannot receive the security code. I have not changed anything on my account. I would appreciate an update.",account_access,high,negative
TKT-1073,2026-03-10 00:00:00,email,GB,"Good day, I cannot log in to my account. Please let me know how to fix this.",account_access,high,neutral
TKT-1074,2026-04-29 20:00:00,mobile_app,CA,"Hi, Two factor authentication is not sending a code. I am using the website on my laptop.",account_access,medium,negative
TKT-1179,2026-06-03 13:00:00,chat,GB,The courier marked the package delivered but I do not have it. I am using the mobile app. Thanks in advance.,delivery,high,neutral
TKT-1099,2026-04-20 22:00:00,email,US,"Hi, I changed my phone number and cannot receive the security code. I need this resolved before the end of the day. I would appreciate an update.",account_access,high,neutral
TKT-1257,2026-01-29 06:00:00,mobile_app,GB,"Hey team, Do you have an annual billing option. This is the first time I have seen this issue.",product_inquiry,low,neutral
TKT-1070,2026-03-26 17:00:00,chat,PH,Two factor authentication is not sending a code. It has been happening since yesterday.,account_access,medium,negative
TKT-1218,2026-05-23 12:00:00,email,AU,I want to cancel my subscription. I would appreciate an update.,cancellation_refund,high,negative
TKT-1122,2026-04-09 00:00:00,chat,GB,"Good day, The mobile app freezes on the checkout screen. This started today. What should I do next?",technical_issue,medium,neutral
TKT-1005,2026-06-07 03:00:00,email,AU,"Good day, My invoice total looks incorrect. This happened after the latest update. What should I do next?",billing,high,negative
TKT-1289,2026-03-25 08:00:00,chat,SG,"Hey team, Can I use the service on multiple devices. It has been happening since yesterday. I would appreciate an update.",product_inquiry,medium,positive
TKT-1068,2026-06-05 12:00:00,web_form,SG,"Hi, My account is locked after too many attempts. I am using the website on my laptop. Thanks in advance.",account_access,high,negative
TKT-1121,2026-04-12 07:00:00,web_form,PH,"Hey team, The mobile app freezes on the checkout screen. It has been happening since yesterday. Can someone look into this?",technical_issue,high,neutral
TKT-1172,2026-04-25 13:00:00,email,SG,"Hey team, Can I change the shipping address before dispatch. This happened after the latest update. Please let me know how to fix this.",delivery,high,negative
TKT-1120,2026-06-06 06:00:00,web_form,US,"Hi there, I get an error when trying to save changes. I am using the website on my laptop. Please let me know how to fix this.",technical_issue,high,neutral
TKT-1016,2026-05-08 23:00:00,chat,GB,My invoice total looks incorrect. I am using the website on my laptop.,billing,medium,negative
TKT-1186,2026-06-03 10:00:00,email,PH,"Hey team, Part of my order is missing. I already tried again twice.",delivery,high,neutral
TKT-1092,2026-03-21 08:00:00,web_form,CA,"Hey team, The login page says my credentials are invalid. Thanks in advance.",account_access,high,negative
TKT-1180,2026-05-31 17:00:00,mobile_app,SG,"Good day, The box arrived damaged. I need this resolved before the end of the day.",delivery,low,neutral
TKT-1177,2026-04-26 06:00:00,chat,GB,"Hi, My package was delivered to the wrong address. I am using the website on my laptop.",delivery,low,negative
TKT-1191,2026-05-14 14:00:00,mobile_app,PH,"Hi, The courier marked the package delivered but I do not have it. This is the first time I have seen this issue. What should I do next?",delivery,high,negative
